id,classe ,tipo,endereco,bairro
70,POLICIA MILITAR,COMANDO DE POLICIAMENTO,R JORGE MIRANDA 789,LUZ
71,POLICIA MILITAR,COMANDO GERAL,R LIBERO BADARO 39,CENTRO
72,POLICIA MILITAR,BATALHAO DA POLICIA,R LINO DE ALMEIDA PIRES  578,VILA GUARANI
73,POLICIA MILITAR,BATALHAO DA POLICIA,R LUIZ BARBALHO BEZERRA 600,SANTA BARBARA
74,POLICIA MILITAR,BATALHAO DA POLICIA,R MAESTRO ELIAS LOBO 127,JD PAULISTA
75,POLICIA MILITAR,BATALHAO DA POLICIA,R MAJOR BASILIO 774,AGUA RASA
76,POLICIA MILITAR,BATALHAO DA POLICIA,R MANOEL SARMENTO 247,JD NOSSA SRA DO CARMO
77,POLICIA MILITAR,BATALHAO DA POLICIA,R OTTO DE ALENCAR 230,CAMBUCI
78,POLICIA MILITAR,BATALHAO DA POLICIA,R PASSO DA PATRIA 1601,BELA ALIANCA
79,POLICIA MILITAR,BATALHAO DA POLICIA,R PASTOR JERONIMO GRANERO GARCIA 11,JD ALVORADA
80,POLICIA MILITAR,BATALHAO DA POLICIA,R PAULINO PACHECO DE MELO 3,JD ROBRU
81,POLICIA MILITAR,BATALHAO DA POLICIA,R PERIBEBUI 101,ALTO DA LAPA
82,POLICIA MILITAR,BATALHAO DA POLICIA,R PROF ANTONIO PRUDENTE  48,LIBERDADE
83,POLICIA MILITAR,BATALHAO DA POLICIA,R RAFAEL IORIO 160,CAMPO BELO
84,POLICIA MILITAR,BATALHAO DA POLICIA,R REPUBLICA DO IRAQUE 1119,CAMPO BELO
85,POLICIA MILITAR,BATALHAO DA POLICIA,R RIBEIRO DE LIMA 140,LUZ
86,POLICIA MILITAR,BATALHAO DA POLICIA,R RIO BONITO  950,BRAS
87,POLICIA MILITAR,BATALHAO DA POLICIA,R SAIGON  201,VILA FORMOSA
88,POLICIA MILITAR,CORREGEDORIA,R SANTA LEOCADIA 130,VILA I MAZZEI
89,POLICIA MILITAR,BATALHAO DA POLICIA,R SARGENTO ADVINCOLA 197,JD SANTA INES
90,POLICIA MILITAR,BATALHAO DA POLICIA,R SENA MADUREIRA 980,VILA CLEMENTINO
91,POLICIA MILITAR,BATALHAO DA POLICIA,R VALDOMIRO DE LIMA  286,JABAQUARA
92,POLICIA MILITAR,COMANDO DE POLICIAMENTO,R VERGUEIRO 363,LIBERDADE
93,POLICIA MILITAR,BATALHAO DA POLICIA,R VESPASIANO 807,VILA ROMANA
94,POLICIA MILITAR,BATALHAO DA POLICIA,R VICENTE AVELAR 100,JOSE BONIFACIO
95,POLICIA MILITAR,BATALHAO DA POLICIA,R VILA OLIMPICA MARIO COVAS 21,PARQUE IPE
96,POLICIA MILITAR,BATALHAO DA POLICIA,R VILELA 307,TATUAPE
97,POLICIA MILITAR,BATALHAO DA POLICIA,R VISCONDE DE PARNAIBA 2334,BRAS
98,POLICIA MILITAR,BATALHAO DA POLICIA,R ZURITA 98,CANINDE
99,POLICIA CIVIL,DELEGACIA DE POLICIA,AL GLETE 827,CAMPOS ELISEOS
100,POLICIA CIVIL,DELEGACIA DE POLICIA,AL PRIMEIRO SARGENTO OSMAR CORTEZ CLARO 52,PARQUE NOVO MUNDO
101,POLICIA CIVIL,DELEGACIA DE POLICIA,AV AIRTON PRETINI  69,JD A PENHA
102,POLICIA CIVIL,DELEGACIA DE POLICIA,AV ALTANTICA 1171,SOCORRO
103,POLICIA CIVIL,DELEGACIA DE POLICIA,AV ANGELO CRISTIANINI 467,C JULIA
104,POLICIA CIVIL,DELEGACIA DE POLICIA,AV ARQUITETO VILA NOVA ARTIGAS 720,TEOTONIO VILELA
105,POLICIA CIVIL,DELEGACIA DE POLICIA,AV ATLANTICA 1171,SOCORRO
106,POLICIA CIVIL,DELEGACIA DE POLICIA,AV CASA VERDE 677,CASA VERDE
107,POLICIA CIVIL,DELEGACIA DE POLICIA,AV CELSO GARCIA 2875,TATUAPE
108,POLICIA CIVIL,DELEGACIA DE POLICIA,AV CONSELHEIRO CARRAO 2580,VILA CARRAO
109,POLICIA CIVIL,DELEGACIA DE POLICIA,AV CORIFEU DE AZEVEDO MARQUES 4300,VILA LAGEADO
110,POLICIA CIVIL,DELEGACIA DE POLICIA,AV DEPUTADO EMILIO CARLOS 1251,LIMAO
111,POLICIA CIVIL,DELEGACIA DE POLICIA,AV DR GASTAO VIDIGAL 307,JD PAULISTANO
112,POLICIA CIVIL,DELEGACIA DE POLICIA,AV ELISIO TEIXEIRA LEITE 7461,SIT MRO GRANDE
113,POLICIA CIVIL,DELEGACIA DE POLICIA,AV ENGENHEIRO GEORGE CORBISIER 322,JABAQUARA
114,POLICIA CIVIL,DELEGACIA DE POLICIA,AV ENGENHEIRO LUIZ CARLOS BERRINI 900,BROOKLIN
115,POLICIA CIVIL,DIVISAO DE CRIMES CONTRA A FAZENDA,AV INDIANOPOLIS 3303,INDIANOPOLIS
116,POLICIA CIVIL,DELEGACIA DE POLICIA,AV ITABERABA 731,NOSSA SRA  O
117,POLICIA CIVIL,DELEGACIA DE POLICIA,AV MARCONDES DE BRITO 1416,CHACARA SEIS DE OUTUBRO
118,POLICIA CIVIL,DELEGACIA DE POLICIA,AV MENOTTI LAUDISIO 286,JD CIDADE PIRITUBA
119,POLICIA CIVIL,DELEGACIA DE POLICIA,AV NAGIB FARAH MALUF 209,CJ RUA J BONIFACIO
120,POLICIA CIVIL,DELEGACIA DE POLICIA,AV ONZE DE JUNHO 89,VILA CLEMENTINO
121,POLICIA CIVIL,DELEGACIA DE POLICIA,AV ORATORIO 1588,VILA INDEPENDENCIA
122,POLICIA CIVIL,DELEGACIA DE POLICIA,AV OSVALDO PUCCI 180,JD NOSSA SRA CARMO
123,POLICIA CIVIL,DELEGACIA DE POLICIA,AV OSVALDO VALLE CORDEIRO 190,JD BRASILIA
124,POLICIA CIVIL,DELEGACIA DE POLICIA,AV PADRE ARLINDO VIEIRA 50,VILA VERMELHA
125,POLICIA CIVIL,DELEGACIA DE POLICIA,AV PADRE ESTANISLAU DE CAMPOS 750,CJ H P M NOBREGA
126,POLICIA CIVIL,DELEGACIA DE POLICIA,AV PARADA PINTO 2387,VILA NOVA CACHOEIRINHA
127,POLICIA CIVIL,DELEGACIA DE POLICIA,AV PAULO LINCOLN DO VALE POTIM 744,JACANA
128,POLICIA CIVIL,DELEGACIA DE POLICIA,AV PROF FRANCISCO MORATO 2971,VILA SONIA
129,POLICIA CIVIL,DELEGACIA DE POLICIA,AV RAGUEB CHOHFI  870,JD 3 MARIAS
130,POLICIA CIVIL,DELEGACIA DE POLICIA,AV ROBERT KENNEDY 1171,SOCORRO
131,POLICIA CIVIL,DELEGACIA DE POLICIA,AV SAO JOAO 1247,CENTRO
132,POLICIA CIVIL,DELEGACIA DE POLICIA,AV SAO MIGUEL 3551,VILA CONSTANCIA
133,POLICIA CIVIL,DELEGACIA DE POLICIA,AV SAPOPEMBA 3259,VILA R FEIJO
134,POLICIA CIVIL,DELEGACIA DE POLICIA,AV ZAKI NARCHI 152,CARANDIRU
135,POLICIA CIVIL,DELEGACIA DE POLICIA,EST DE ITAPECERICA 5864,JD V LINDA
136,POLICIA CIVIL,DELEGACIA DE POLICIA,R ALDEIA DE SANTO INACIO  696,PARQUE SAO RAFAEL
137,POLICIA CIVIL,DELEGACIA DE POLICIA,R AMERICO GOMES DA COSTA 305,VILA AMERICANA
138,POLICIA CIVIL,DELEGACIA DE POLICIA,R ANGELO BERTINI 82,JD  CELESTE
139,POLICIA CIVIL,DELEGACIA DE POLICIA,R ANIBAL DOS ANJOS CARVALHO 87,CIDADE DUTRA
140,POLICIA CIVIL,DELEGACIA DE POLICIA,R ANTONIO CAMARDO 69,VILA  G CARDIM
141,POLICIA CIVIL,DELEGACIA DE POLICIA,R ANTONIO GIL 1349,JD  ALZIRA
142,POLICIA CIVIL,DELEGACIA DE POLICIA,R ANTURIOS 362,JD  TEXTIL
143,POLICIA CIVIL,DELEGACIA DE POLICIA,R AURORA 322,SANTA  EFIGENIA
144,POLICIA CIVIL,GRUPO OPERACOES ESPECIAIS DECAP - GOE,R BARAO DO TRIUNFO 1179,BROOKLIN PAULISTA
145,POLICIA CIVIL,DELEGACIA DE POLICIA,R BARROSO NETO 46,VILA  INDIANA
146,POLICIA CIVIL,DELEGACIA DE POLICIA,R BRIGADEIRO TOBIAS  527,SANTA EFIGENIA
147,POLICIA CIVIL,DELEGACIA DE POLICIA,R CAMARES 94,CARANDIRU
148,POLICIA CIVIL,DELEGACIA DE POLICIA,R CAMILO 317,VILA ROMANA
149,POLICIA CIVIL,DELEGACIA DE POLICIA,R CAROLINA MICHAELIS 370,JD IMBUIAS
150,POLICIA CIVIL,DELEGACIA DE POLICIA,R COMANDANTE TAYLOR 1180,IPIRANGA
151,POLICIA CIVIL,DELEGACIA DE POLICIA,R DA CANTAREIRA 390,CENTRO
152,POLICIA CIVIL,CORREGEDORIA,R DA CONSOLACAO 2333,CONSOLACAO
153,POLICIA CIVIL,DELEGACIA DE POLICIA,R DA CONSOLACAO 247,REPUBLICA
154,POLICIA CIVIL,DELEGACIA DE POLICIA,R DA ESPERANCA 797,VILA MEDEIROS
155,POLICIA CIVIL,DELEGACIA DE POLICIA,R DA GLORIA  410,LIBERDADE
156,POLICIA CIVIL,DELEGACIA DE POLICIA,R DEMOSTENES 407,CPO BELO
157,POLICIA CIVIL,DELEGACIA DE POLICIA,R DEPUTADO LACERDA FRANCO 372,PINHEIROS
158,POLICIA CIVIL,DELEGACIA DE POLICIA,R DIOGENES CAMPOS AIRES185,PARQUE TIETE
159,POLICIA CIVIL,DELEGACIA DE POLICIA,R DO ORATORIO 2220,ALTO DA MOOCA
160,POLICIA CIVIL,DELEGACIA DE POLICIA,R DOM LUIZ LAZAGNA 534,IPIRANGA
161,POLICIA CIVIL,DELEGACIA DE POLICIA,R DOMINGOS SIMOES 21,PRQ B MORUMBI
162,POLICIA CIVIL,DELEGACIA DE POLICIA,R DOS CAMARES  94,CARANDIRU
163,POLICIA CIVIL,DELEGACIA DE POLICIA,R DR BITTENCOURT RODRIGUES 200,CENTRO
164,POLICIA CIVIL,DELEGACIA DE POLICIA,R DR CORINTO BALDOINO COSTA 400,PARQUE SAO JORGE
165,POLICIA CIVIL,DELEGACIA DE POLICIA,R DR JUVENAL HUDSON FERREIRA  141,JD MIRNA
166,POLICIA CIVIL,DELEGACIA DE POLICIA,R DR RENATO PAES DE BARROS 340,ITAIM BIBI
167,POLICIA CIVIL,GARAGEM,R DR TOMAZ CARVALHAL 1030,PARAISO
168,POLICIA CIVIL,DELEGACIA DE POLICIA,R DRA ESMERALDA MENDES POLICENE 264,JD AVELINO
169,POLICIA CIVIL,DELEGACIA DE POLICIA,R DRIADES 50,VILA JACUI
170,POLICIA CIVIL,DELEGACIA DE POLICIA,R ESTADOS UNIDOS 1608,JD AMERICA
171,POLICIA CIVIL,DEPARTAMENTO DE POLICIA JUDICIARIA,R FERREIRA DE ARAUJO 653,PINHEIROS
172,POLICIA CIVIL,DELEGACIA DE POLICIA,R FIORELLI PECCICACCO 320,VILA MALVINA
173,POLICIA CIVIL,DELEGACIA DE POLICIA,R FRANCISCO JOSE VIANA 175,CIDADE TIRADENTES
174,POLICIA CIVIL,DELEGACIA DE POLICIA,R HERMINIO LEMOS 70,CAMBUCI
175,POLICIA CIVIL,DELEGACIA DE POLICIA,R HUMBERTO RAVELLO  9,PARELHEIROS
176,POLICIA CIVIL,DELEGACIA DE POLICIA,R JACARATINGA 201,VILA PIRAJUSSARA
177,POLICIA CIVIL,DELEGACIA DE POLICIA,R JARAGUA 383,BOM RETIRO
178,POLICIA CIVIL,DELEGACIA DE POLICIA,R JOAO DA SILVA AGUIAR 850,LAGEADO
179,POLICIA CIVIL,DELEGACIA DE POLICIA,R JOAQUIM DE OLIVEIRA FREITAS 1170,JD S ELIAS
180,POLICIA CIVIL,DELEGACIA DE POLICIA,R JOAQUIM FERREIRA DA ROCHA 403,BRASILANDIA
181,POLICIA CIVIL,DELEGACIA DE POLICIA,R JOSE CARLOS SANTOS MARQUES  301,JD HERCULANO
182,POLICIA CIVIL,DELEGACIA DE POLICIA,R JUVENTUS 350,ALTO DA MOOCA
183,POLICIA CIVIL,ASSISTENCIA POLICIAL,R LIBERO BADARO 39,CENTRO
184,POLICIA CIVIL,DELEGACIA DE POLICIA,R MARIA BENEDITA RODRIGUES 200,PRQ S ANTONIO
185,POLICIA CIVIL,DELEGACIA DE POLICIA,R MARIO ANCONA 530,PRQ IPE
186,POLICIA CIVIL,DELEGACIA DE POLICIA,R MARQUES DE PARANAGUA 246,CONSOLACAO
187,POLICIA CIVIL,ASSISTENCIA POLICIAL,R PADRE DE CARVALHO 396,PINHEIROS
188,POLICIA CIVIL,DELEGACIA DE POLICIA,R PADRE JOSE DE ANCHIETA 138,S AMARO
189,POLICIA CIVIL,DELEGACIA DE POLICIA,R PROF ANTONIO PRUDENTE 160,LIBERDADE
190,POLICIA CIVIL,DELEGACIA DE POLICIA,R RODOLFO MIRANDA 636,BOM RETIRO
191,POLICIA CIVIL,DELEGACIA DE POLICIA,R RUI PIROZZELLI  250,JD BELEM
192,POLICIA CIVIL,DELEGACIA DE POLICIA,R SABBADO D'ANGELO 64,ITAQUERA
193,POLICIA CIVIL,DELEGACIA DE POLICIA,R SALVADOR GIANETTI 386,GUAIANASES
194,POLICIA CIVIL,DELEGACIA DE POLICIA,R SAO BENTO 380,CENTRO
195,POLICIA CIVIL,DELEGACIA DE POLICIA,R SAO ZEFERINO 34,JD FRANCA
196,POLICIA CIVIL,DELEGACIA DE POLICIA,R SAPUCAIA 206,BRAS
197,POLICIA CIVIL,DELEGACIA DE POLICIA,R SARGENTO MANOEL BARBOSA DA SILVA 115,JD ANHANGUERA
198,POLICIA CIVIL,CENTRAL DE CARROS AUXILIARES,R SERRA DE BOTUCATU 1577,VILA G CARDIM
199,POLICIA CIVIL,DELEGACIA DE POLICIA,R SEVERINO JOSE FERNANDES 1900,JD ROBRU
200,POLICIA CIVIL,DELEGACIA DE POLICIA,R SONHO GAUCHO 638,JD SAO NICOLAU
201,POLICIA CIVIL,DELEGACIA DE POLICIA,R TIBURCIO DE SOUZA 860,ITAIM
202,POLICIA CIVIL,DELEGACIA DE POLICIA,R TUTOIA 921,VILA MARIANA
203,POLICIA CIVIL,DEPARTAMENTO DE ADMINISTRACAO,R VENCESLAU BRAS 167,CENTRO
204,POLICIA CIVIL,DEPARTAMENTO DE ADMINISTRACAO,R VERGUEIRO 7072,VILA F PINTO
205,POLICIA CIVIL,DELEGACIA DE POLICIA,R VISTOSA DA MADRE DE DEUS 120,JD NOEMIA
206,POLICIA CIVIL,DELEGACIA DE POLICIA,R. OTAVIO ALVES DUNDAS 390,VILA EMA
207,POLICIA CIVIL,DELEGACIA DE POLICIA,ROD DOS IMIGRANTES KM 11,VILA GUARANI
208,POLICIA CIVIL,DELEGACIA DE POLICIA,ZAKI NARCHIAV 152,CARANDIRU
209,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,AV DO ESTADO 680,BELA VISTA
210,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,AV DOS TEXTEIS 1331,SANTA ETELVINA
211,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,AV PIRES DO RIO 1349,S. M. PAULISTA
212,UNIDADE GUARDA CIVIL METROPOLITANA,COMANDO OPERACIONAL,AV PROFESSOR FREDERICO HERMAN JUNIOR 653,PINHEIROS
213,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,AV PROF JOAO BATISTA CONTI 285,CONJUNTO JOSE BONIFACIO
214,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,AV RAIMUNDO PEREIRA DE MAGALHAES 5093,PIRITUBA
215,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,AV ROBERT KENNEDY 2450,JD. IPANEMA
216,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,AV SADAMU INOUE 6291,PARELHEIROS
217,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,AV SANTOS DUMONT 767,BOM RETIRO
218,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,AVENIDA MAL TITO 3012,ITAIM PAULISTA
219,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,EST VELHA DE MOGI DAS CRUZES 1860,BURGO PAULISTA
220,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,PC JOAO PISANI 449,BUTANTA
221,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,PC TANQUE DO ZUNEGA 31,JD ROSELI
222,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,R ADAUTO BEZERRA DELGADO 210,JD JOAMAR
223,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,R BRENO FERRAZ DO AMARAL 415,IPIRANGA
224,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,R CAPITAO MACEDO 553,VILA MARIANA
225,UNIDADE GUARDA CIVIL METROPOLITANA,COMANDO OPERACIONAL,R CASSIANO DOS SANTOS 499,JD CLIPPER
226,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,R DARWIN 221,SANTO AMARO
227,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,R DAS PROVINCIAS 218,VILA MARIETA
228,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,R DR FREDERICO HERMANN JUNIOR 653,PINHEIROS
229,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,R FERNANDES PALERO 301,COHAB JK GUAIANAZES
230,UNIDADE GUARDA CIVIL METROPOLITANA,COMANDO GERAL,R GAL COUTO DE MAGALHAES 444,NOVA LUZ
231,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,R IAMACARU 131,JD PLANALTO
232,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,R ILIDIO DE FIGUEIREDO 0492,PERUS
233,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,R JOAO LUIZ CALHEIROS 40,BRASILANDIA
234,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,R LUSSANVIRA 178,VILA GUARANI
235,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,R MAJOR PALADINO 180,VILA LEOPOLDINA
236,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,R MANOEL JOSE PEREIRA 300,JD GISMAR
237,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,R NEVES DE CARVALHO 780,BOM RETIRO
238,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,R NOVA TUPAROQUERA 2220,JD SAO LUIZ
239,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,R SEBASTIAO AFONSO 828,JD MIRIAM
240,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,R TAQUARI 635,MOOCA
241,UNIDADE GUARDA CIVIL METROPOLITANA,INSPETORIA REGIONAL,R XIRO 266,CASA VERDE
