,QUAD1,QUAD2
2083,"(12, 13)","(12, 14)"
2084,"(12, 13)","(13, 14)"
2085,"(12, 14)","(11, 13)"
2086,"(12, 14)","(12, 13)"
2087,"(12, 14)","(13, 13)"
2088,"(12, 14)","(11, 14)"
2089,"(12, 14)","(13, 14)"
2090,"(12, 14)","(11, 15)"
2091,"(12, 14)","(12, 15)"
2092,"(12, 14)","(13, 15)"
2093,"(12, 15)","(11, 14)"
2094,"(12, 15)","(12, 14)"
2095,"(12, 15)","(13, 14)"
2096,"(12, 15)","(11, 15)"
2097,"(12, 15)","(13, 15)"
2098,"(12, 15)","(11, 16)"
2099,"(12, 15)","(12, 16)"
2100,"(12, 15)","(13, 16)"
2101,"(12, 16)","(11, 15)"
2102,"(12, 16)","(12, 15)"
2103,"(12, 16)","(13, 15)"
2104,"(12, 16)","(11, 16)"
2105,"(12, 16)","(13, 16)"
2106,"(12, 16)","(11, 17)"
2107,"(12, 16)","(12, 17)"
2108,"(12, 16)","(13, 17)"
2109,"(12, 17)","(11, 16)"
2110,"(12, 17)","(12, 16)"
2111,"(12, 17)","(13, 16)"
2112,"(12, 17)","(11, 17)"
2113,"(12, 17)","(13, 17)"
2114,"(12, 17)","(11, 18)"
2115,"(12, 17)","(12, 18)"
2116,"(12, 17)","(13, 18)"
2117,"(12, 18)","(11, 17)"
2118,"(12, 18)","(12, 17)"
2119,"(12, 18)","(13, 17)"
2120,"(12, 18)","(11, 18)"
2121,"(12, 18)","(13, 18)"
2122,"(12, 18)","(11, 19)"
2123,"(12, 18)","(12, 19)"
2124,"(12, 18)","(13, 19)"
2125,"(12, 19)","(11, 18)"
2126,"(12, 19)","(12, 18)"
2127,"(12, 19)","(13, 18)"
2128,"(12, 19)","(11, 19)"
2129,"(12, 19)","(13, 19)"
2130,"(12, 19)","(11, 20)"
2131,"(12, 19)","(12, 20)"
2132,"(12, 19)","(13, 20)"
2133,"(12, 20)","(11, 19)"
2134,"(12, 20)","(12, 19)"
2135,"(12, 20)","(13, 19)"
2136,"(12, 20)","(11, 20)"
2137,"(12, 20)","(13, 20)"
2138,"(12, 20)","(11, 21)"
2139,"(12, 20)","(12, 21)"
2140,"(12, 20)","(13, 21)"
2141,"(12, 21)","(11, 20)"
2142,"(12, 21)","(12, 20)"
2143,"(12, 21)","(13, 20)"
2144,"(12, 21)","(11, 21)"
2145,"(12, 21)","(13, 21)"
2146,"(13, 0)","(12, 0)"
2147,"(13, 0)","(14, 0)"
2148,"(13, 0)","(12, 1)"
2149,"(13, 0)","(13, 1)"
2150,"(13, 0)","(14, 1)"
2151,"(13, 1)","(12, 0)"
2152,"(13, 1)","(13, 0)"
2153,"(13, 1)","(14, 0)"
2154,"(13, 1)","(12, 1)"
2155,"(13, 1)","(14, 1)"
2156,"(13, 1)","(12, 2)"
2157,"(13, 1)","(13, 2)"
2158,"(13, 1)","(14, 2)"
2159,"(13, 2)","(12, 1)"
2160,"(13, 2)","(13, 1)"
2161,"(13, 2)","(14, 1)"
2162,"(13, 2)","(12, 2)"
2163,"(13, 2)","(14, 2)"
2164,"(13, 2)","(12, 3)"
2165,"(13, 2)","(13, 3)"
2166,"(13, 2)","(14, 3)"
2167,"(13, 3)","(12, 2)"
2168,"(13, 3)","(13, 2)"
2169,"(13, 3)","(14, 2)"
2170,"(13, 3)","(12, 3)"
2171,"(13, 3)","(14, 3)"
2172,"(13, 3)","(12, 4)"
2173,"(13, 3)","(13, 4)"
2174,"(13, 3)","(14, 4)"
2175,"(13, 4)","(12, 3)"
2176,"(13, 4)","(13, 3)"
2177,"(13, 4)","(14, 3)"
2178,"(13, 4)","(12, 4)"
2179,"(13, 4)","(14, 4)"
2180,"(13, 4)","(12, 5)"
2181,"(13, 4)","(13, 5)"
2182,"(13, 4)","(14, 5)"
2183,"(13, 5)","(12, 4)"
2184,"(13, 5)","(13, 4)"
2185,"(13, 5)","(14, 4)"
2186,"(13, 5)","(12, 5)"
2187,"(13, 5)","(14, 5)"
2188,"(13, 5)","(12, 6)"
2189,"(13, 5)","(13, 6)"
2190,"(13, 5)","(14, 6)"
2191,"(13, 6)","(12, 5)"
2192,"(13, 6)","(13, 5)"
2193,"(13, 6)","(14, 5)"
2194,"(13, 6)","(12, 6)"
2195,"(13, 6)","(14, 6)"
2196,"(13, 6)","(12, 7)"
2197,"(13, 6)","(13, 7)"
2198,"(13, 6)","(14, 7)"
2199,"(13, 7)","(12, 6)"
2200,"(13, 7)","(13, 6)"
2201,"(13, 7)","(14, 6)"
2202,"(13, 7)","(12, 7)"
2203,"(13, 7)","(14, 7)"
2204,"(13, 7)","(12, 8)"
2205,"(13, 7)","(13, 8)"
2206,"(13, 7)","(14, 8)"
2207,"(13, 8)","(12, 7)"
2208,"(13, 8)","(13, 7)"
2209,"(13, 8)","(14, 7)"
2210,"(13, 8)","(12, 8)"
2211,"(13, 8)","(14, 8)"
2212,"(13, 8)","(12, 9)"
2213,"(13, 8)","(13, 9)"
2214,"(13, 8)","(14, 9)"
2215,"(13, 9)","(12, 8)"
2216,"(13, 9)","(13, 8)"
2217,"(13, 9)","(14, 8)"
2218,"(13, 9)","(12, 9)"
2219,"(13, 9)","(14, 9)"
2220,"(13, 9)","(12, 10)"
2221,"(13, 9)","(13, 10)"
2222,"(13, 9)","(14, 10)"
2223,"(13, 10)","(12, 9)"
2224,"(13, 10)","(13, 9)"
2225,"(13, 10)","(14, 9)"
2226,"(13, 10)","(12, 10)"
2227,"(13, 10)","(14, 10)"
2228,"(13, 10)","(12, 11)"
2229,"(13, 10)","(13, 11)"
2230,"(13, 10)","(14, 11)"
2231,"(13, 11)","(12, 10)"
2232,"(13, 11)","(13, 10)"
2233,"(13, 11)","(14, 10)"
2234,"(13, 11)","(12, 11)"
2235,"(13, 11)","(14, 11)"
2236,"(13, 11)","(12, 12)"
2237,"(13, 11)","(13, 12)"
2238,"(13, 11)","(14, 12)"
2239,"(13, 12)","(12, 11)"
2240,"(13, 12)","(13, 11)"
2241,"(13, 12)","(14, 11)"
2242,"(13, 12)","(12, 12)"
2243,"(13, 12)","(14, 12)"
2244,"(13, 12)","(12, 13)"
2245,"(13, 12)","(13, 13)"
2246,"(13, 12)","(14, 13)"
2247,"(13, 13)","(12, 12)"
2248,"(13, 13)","(13, 12)"
2249,"(13, 13)","(14, 12)"
2250,"(13, 13)","(12, 13)"
2251,"(13, 13)","(14, 13)"
2252,"(13, 13)","(12, 14)"
2253,"(13, 13)","(13, 14)"
2254,"(13, 13)","(14, 14)"
2255,"(13, 14)","(12, 13)"
2256,"(13, 14)","(13, 13)"
2257,"(13, 14)","(14, 13)"
2258,"(13, 14)","(12, 14)"
2259,"(13, 14)","(14, 14)"
2260,"(13, 14)","(12, 15)"
2261,"(13, 14)","(13, 15)"
2262,"(13, 14)","(14, 15)"
2263,"(13, 15)","(12, 14)"
2264,"(13, 15)","(13, 14)"
2265,"(13, 15)","(14, 14)"
2266,"(13, 15)","(12, 15)"
2267,"(13, 15)","(14, 15)"
2268,"(13, 15)","(12, 16)"
2269,"(13, 15)","(13, 16)"
2270,"(13, 15)","(14, 16)"
2271,"(13, 16)","(12, 15)"
2272,"(13, 16)","(13, 15)"
2273,"(13, 16)","(14, 15)"
2274,"(13, 16)","(12, 16)"
2275,"(13, 16)","(14, 16)"
2276,"(13, 16)","(12, 17)"
2277,"(13, 16)","(13, 17)"
2278,"(13, 16)","(14, 17)"
2279,"(13, 17)","(12, 16)"
2280,"(13, 17)","(13, 16)"
2281,"(13, 17)","(14, 16)"
2282,"(13, 17)","(12, 17)"
2283,"(13, 17)","(14, 17)"
2284,"(13, 17)","(12, 18)"
2285,"(13, 17)","(13, 18)"
2286,"(13, 17)","(14, 18)"
2287,"(13, 18)","(12, 17)"
2288,"(13, 18)","(13, 17)"
2289,"(13, 18)","(14, 17)"
2290,"(13, 18)","(12, 18)"
2291,"(13, 18)","(14, 18)"
2292,"(13, 18)","(12, 19)"
2293,"(13, 18)","(13, 19)"
2294,"(13, 18)","(14, 19)"
2295,"(13, 19)","(12, 18)"
2296,"(13, 19)","(13, 18)"
2297,"(13, 19)","(14, 18)"
2298,"(13, 19)","(12, 19)"
2299,"(13, 19)","(14, 19)"
2300,"(13, 19)","(12, 20)"
2301,"(13, 19)","(13, 20)"
2302,"(13, 19)","(14, 20)"
2303,"(13, 20)","(12, 19)"
2304,"(13, 20)","(13, 19)"
2305,"(13, 20)","(14, 19)"
2306,"(13, 20)","(12, 20)"
2307,"(13, 20)","(14, 20)"
2308,"(13, 20)","(12, 21)"
2309,"(13, 20)","(13, 21)"
2310,"(13, 20)","(14, 21)"
2311,"(13, 21)","(12, 20)"
2312,"(13, 21)","(13, 20)"
2313,"(13, 21)","(14, 20)"
2314,"(13, 21)","(12, 21)"
2315,"(13, 21)","(14, 21)"
2316,"(14, 0)","(13, 0)"
2317,"(14, 0)","(15, 0)"
2318,"(14, 0)","(13, 1)"
2319,"(14, 0)","(14, 1)"
2320,"(14, 0)","(15, 1)"
2321,"(14, 1)","(13, 0)"
2322,"(14, 1)","(14, 0)"
2323,"(14, 1)","(15, 0)"
2324,"(14, 1)","(13, 1)"
2325,"(14, 1)","(15, 1)"
2326,"(14, 1)","(13, 2)"
2327,"(14, 1)","(14, 2)"
2328,"(14, 1)","(15, 2)"
2329,"(14, 2)","(13, 1)"
2330,"(14, 2)","(14, 1)"
2331,"(14, 2)","(15, 1)"
2332,"(14, 2)","(13, 2)"
2333,"(14, 2)","(15, 2)"
2334,"(14, 2)","(13, 3)"
2335,"(14, 2)","(14, 3)"
2336,"(14, 2)","(15, 3)"
2337,"(14, 3)","(13, 2)"
2338,"(14, 3)","(14, 2)"
2339,"(14, 3)","(15, 2)"
2340,"(14, 3)","(13, 3)"
2341,"(14, 3)","(15, 3)"
2342,"(14, 3)","(13, 4)"
2343,"(14, 3)","(14, 4)"
2344,"(14, 3)","(15, 4)"
2345,"(14, 4)","(13, 3)"
2346,"(14, 4)","(14, 3)"
2347,"(14, 4)","(15, 3)"
2348,"(14, 4)","(13, 4)"
2349,"(14, 4)","(15, 4)"
2350,"(14, 4)","(13, 5)"
2351,"(14, 4)","(14, 5)"
2352,"(14, 4)","(15, 5)"
2353,"(14, 5)","(13, 4)"
2354,"(14, 5)","(14, 4)"
2355,"(14, 5)","(15, 4)"
2356,"(14, 5)","(13, 5)"
2357,"(14, 5)","(15, 5)"
2358,"(14, 5)","(13, 6)"
2359,"(14, 5)","(14, 6)"
2360,"(14, 5)","(15, 6)"
2361,"(14, 6)","(13, 5)"
2362,"(14, 6)","(14, 5)"
2363,"(14, 6)","(15, 5)"
2364,"(14, 6)","(13, 6)"
2365,"(14, 6)","(15, 6)"
2366,"(14, 6)","(13, 7)"
2367,"(14, 6)","(14, 7)"
2368,"(14, 6)","(15, 7)"
2369,"(14, 7)","(13, 6)"
2370,"(14, 7)","(14, 6)"
2371,"(14, 7)","(15, 6)"
2372,"(14, 7)","(13, 7)"
2373,"(14, 7)","(15, 7)"
2374,"(14, 7)","(13, 8)"
2375,"(14, 7)","(14, 8)"
2376,"(14, 7)","(15, 8)"
2377,"(14, 8)","(13, 7)"
2378,"(14, 8)","(14, 7)"
2379,"(14, 8)","(15, 7)"
2380,"(14, 8)","(13, 8)"
2381,"(14, 8)","(15, 8)"
2382,"(14, 8)","(13, 9)"
2383,"(14, 8)","(14, 9)"
2384,"(14, 8)","(15, 9)"
2385,"(14, 9)","(13, 8)"
2386,"(14, 9)","(14, 8)"
2387,"(14, 9)","(15, 8)"
2388,"(14, 9)","(13, 9)"
2389,"(14, 9)","(15, 9)"
2390,"(14, 9)","(13, 10)"
2391,"(14, 9)","(14, 10)"
2392,"(14, 9)","(15, 10)"
2393,"(14, 10)","(13, 9)"
2394,"(14, 10)","(14, 9)"
2395,"(14, 10)","(15, 9)"
2396,"(14, 10)","(13, 10)"
2397,"(14, 10)","(15, 10)"
2398,"(14, 10)","(13, 11)"
2399,"(14, 10)","(14, 11)"
2400,"(14, 10)","(15, 11)"
2401,"(14, 11)","(13, 10)"
2402,"(14, 11)","(14, 10)"
2403,"(14, 11)","(15, 10)"
2404,"(14, 11)","(13, 11)"
2405,"(14, 11)","(15, 11)"
2406,"(14, 11)","(13, 12)"
2407,"(14, 11)","(14, 12)"
2408,"(14, 11)","(15, 12)"
2409,"(14, 12)","(13, 11)"
2410,"(14, 12)","(14, 11)"
2411,"(14, 12)","(15, 11)"
2412,"(14, 12)","(13, 12)"
2413,"(14, 12)","(15, 12)"
2414,"(14, 12)","(13, 13)"
2415,"(14, 12)","(14, 13)"
2416,"(14, 12)","(15, 13)"
2417,"(14, 13)","(13, 12)"
2418,"(14, 13)","(14, 12)"
2419,"(14, 13)","(15, 12)"
2420,"(14, 13)","(13, 13)"
2421,"(14, 13)","(15, 13)"
2422,"(14, 13)","(13, 14)"
2423,"(14, 13)","(14, 14)"
2424,"(14, 13)","(15, 14)"
2425,"(14, 14)","(13, 13)"
2426,"(14, 14)","(14, 13)"
2427,"(14, 14)","(15, 13)"
2428,"(14, 14)","(13, 14)"
2429,"(14, 14)","(15, 14)"
2430,"(14, 14)","(13, 15)"
2431,"(14, 14)","(14, 15)"
2432,"(14, 14)","(15, 15)"
2433,"(14, 15)","(13, 14)"
2434,"(14, 15)","(14, 14)"
2435,"(14, 15)","(15, 14)"
2436,"(14, 15)","(13, 15)"
2437,"(14, 15)","(15, 15)"
2438,"(14, 15)","(13, 16)"
2439,"(14, 15)","(14, 16)"
2440,"(14, 15)","(15, 16)"
2441,"(14, 16)","(13, 15)"
2442,"(14, 16)","(14, 15)"
2443,"(14, 16)","(15, 15)"
2444,"(14, 16)","(13, 16)"
2445,"(14, 16)","(15, 16)"
2446,"(14, 16)","(13, 17)"
2447,"(14, 16)","(14, 17)"
2448,"(14, 16)","(15, 17)"
2449,"(14, 17)","(13, 16)"
2450,"(14, 17)","(14, 16)"
2451,"(14, 17)","(15, 16)"
2452,"(14, 17)","(13, 17)"
2453,"(14, 17)","(15, 17)"
2454,"(14, 17)","(13, 18)"
2455,"(14, 17)","(14, 18)"
2456,"(14, 17)","(15, 18)"
2457,"(14, 18)","(13, 17)"
2458,"(14, 18)","(14, 17)"
2459,"(14, 18)","(15, 17)"
2460,"(14, 18)","(13, 18)"
2461,"(14, 18)","(15, 18)"
2462,"(14, 18)","(13, 19)"
2463,"(14, 18)","(14, 19)"
2464,"(14, 18)","(15, 19)"
2465,"(14, 19)","(13, 18)"
2466,"(14, 19)","(14, 18)"
2467,"(14, 19)","(15, 18)"
2468,"(14, 19)","(13, 19)"
2469,"(14, 19)","(15, 19)"
2470,"(14, 19)","(13, 20)"
2471,"(14, 19)","(14, 20)"
2472,"(14, 19)","(15, 20)"
2473,"(14, 20)","(13, 19)"
2474,"(14, 20)","(14, 19)"
2475,"(14, 20)","(15, 19)"
2476,"(14, 20)","(13, 20)"
2477,"(14, 20)","(15, 20)"
2478,"(14, 20)","(13, 21)"
2479,"(14, 20)","(14, 21)"
2480,"(14, 20)","(15, 21)"
2481,"(14, 21)","(13, 20)"
2482,"(14, 21)","(14, 20)"
2483,"(14, 21)","(15, 20)"
2484,"(14, 21)","(13, 21)"
2485,"(14, 21)","(15, 21)"
2486,"(15, 0)","(14, 0)"
2487,"(15, 0)","(16, 0)"
2488,"(15, 0)","(14, 1)"
2489,"(15, 0)","(15, 1)"
2490,"(15, 0)","(16, 1)"
2491,"(15, 1)","(14, 0)"
2492,"(15, 1)","(15, 0)"
2493,"(15, 1)","(16, 0)"
2494,"(15, 1)","(14, 1)"
2495,"(15, 1)","(16, 1)"
2496,"(15, 1)","(14, 2)"
2497,"(15, 1)","(15, 2)"
2498,"(15, 1)","(16, 2)"
2499,"(15, 2)","(14, 1)"
2500,"(15, 2)","(15, 1)"
2501,"(15, 2)","(16, 1)"
2502,"(15, 2)","(14, 2)"
2503,"(15, 2)","(16, 2)"
2504,"(15, 2)","(14, 3)"
2505,"(15, 2)","(15, 3)"
2506,"(15, 2)","(16, 3)"
2507,"(15, 3)","(14, 2)"
2508,"(15, 3)","(15, 2)"
2509,"(15, 3)","(16, 2)"
2510,"(15, 3)","(14, 3)"
2511,"(15, 3)","(16, 3)"
2512,"(15, 3)","(14, 4)"
2513,"(15, 3)","(15, 4)"
2514,"(15, 3)","(16, 4)"
2515,"(15, 4)","(14, 3)"
2516,"(15, 4)","(15, 3)"
2517,"(15, 4)","(16, 3)"
2518,"(15, 4)","(14, 4)"
2519,"(15, 4)","(16, 4)"
2520,"(15, 4)","(14, 5)"
2521,"(15, 4)","(15, 5)"
2522,"(15, 4)","(16, 5)"
2523,"(15, 5)","(14, 4)"
2524,"(15, 5)","(15, 4)"
2525,"(15, 5)","(16, 4)"
2526,"(15, 5)","(14, 5)"
2527,"(15, 5)","(16, 5)"
2528,"(15, 5)","(14, 6)"
2529,"(15, 5)","(15, 6)"
2530,"(15, 5)","(16, 6)"
2531,"(15, 6)","(14, 5)"
2532,"(15, 6)","(15, 5)"
2533,"(15, 6)","(16, 5)"
2534,"(15, 6)","(14, 6)"
2535,"(15, 6)","(16, 6)"
2536,"(15, 6)","(14, 7)"
2537,"(15, 6)","(15, 7)"
2538,"(15, 6)","(16, 7)"
2539,"(15, 7)","(14, 6)"
2540,"(15, 7)","(15, 6)"
2541,"(15, 7)","(16, 6)"
2542,"(15, 7)","(14, 7)"
2543,"(15, 7)","(16, 7)"
2544,"(15, 7)","(14, 8)"
2545,"(15, 7)","(15, 8)"
2546,"(15, 7)","(16, 8)"
2547,"(15, 8)","(14, 7)"
2548,"(15, 8)","(15, 7)"
2549,"(15, 8)","(16, 7)"
2550,"(15, 8)","(14, 8)"
2551,"(15, 8)","(16, 8)"
2552,"(15, 8)","(14, 9)"
2553,"(15, 8)","(15, 9)"
2554,"(15, 8)","(16, 9)"
2555,"(15, 9)","(14, 8)"
2556,"(15, 9)","(15, 8)"
2557,"(15, 9)","(16, 8)"
2558,"(15, 9)","(14, 9)"
2559,"(15, 9)","(16, 9)"
2560,"(15, 9)","(14, 10)"
2561,"(15, 9)","(15, 10)"
2562,"(15, 9)","(16, 10)"
2563,"(15, 10)","(14, 9)"
2564,"(15, 10)","(15, 9)"
2565,"(15, 10)","(16, 9)"
2566,"(15, 10)","(14, 10)"
2567,"(15, 10)","(16, 10)"
2568,"(15, 10)","(14, 11)"
2569,"(15, 10)","(15, 11)"
2570,"(15, 10)","(16, 11)"
2571,"(15, 11)","(14, 10)"
2572,"(15, 11)","(15, 10)"
2573,"(15, 11)","(16, 10)"
2574,"(15, 11)","(14, 11)"
2575,"(15, 11)","(16, 11)"
2576,"(15, 11)","(14, 12)"
2577,"(15, 11)","(15, 12)"
2578,"(15, 11)","(16, 12)"
2579,"(15, 12)","(14, 11)"
2580,"(15, 12)","(15, 11)"
2581,"(15, 12)","(16, 11)"
2582,"(15, 12)","(14, 12)"
2583,"(15, 12)","(16, 12)"
2584,"(15, 12)","(14, 13)"
2585,"(15, 12)","(15, 13)"
2586,"(15, 12)","(16, 13)"
2587,"(15, 13)","(14, 12)"
2588,"(15, 13)","(15, 12)"
2589,"(15, 13)","(16, 12)"
2590,"(15, 13)","(14, 13)"
2591,"(15, 13)","(16, 13)"
2592,"(15, 13)","(14, 14)"
2593,"(15, 13)","(15, 14)"
2594,"(15, 13)","(16, 14)"
2595,"(15, 14)","(14, 13)"
2596,"(15, 14)","(15, 13)"
2597,"(15, 14)","(16, 13)"
2598,"(15, 14)","(14, 14)"
2599,"(15, 14)","(16, 14)"
2600,"(15, 14)","(14, 15)"
2601,"(15, 14)","(15, 15)"
2602,"(15, 14)","(16, 15)"
2603,"(15, 15)","(14, 14)"
2604,"(15, 15)","(15, 14)"
2605,"(15, 15)","(16, 14)"
2606,"(15, 15)","(14, 15)"
2607,"(15, 15)","(16, 15)"
2608,"(15, 15)","(14, 16)"
2609,"(15, 15)","(15, 16)"
2610,"(15, 15)","(16, 16)"
2611,"(15, 16)","(14, 15)"
2612,"(15, 16)","(15, 15)"
2613,"(15, 16)","(16, 15)"
2614,"(15, 16)","(14, 16)"
2615,"(15, 16)","(16, 16)"
2616,"(15, 16)","(14, 17)"
2617,"(15, 16)","(15, 17)"
2618,"(15, 16)","(16, 17)"
2619,"(15, 17)","(14, 16)"
2620,"(15, 17)","(15, 16)"
2621,"(15, 17)","(16, 16)"
2622,"(15, 17)","(14, 17)"
2623,"(15, 17)","(16, 17)"
2624,"(15, 17)","(14, 18)"
2625,"(15, 17)","(15, 18)"
2626,"(15, 17)","(16, 18)"
2627,"(15, 18)","(14, 17)"
2628,"(15, 18)","(15, 17)"
2629,"(15, 18)","(16, 17)"
2630,"(15, 18)","(14, 18)"
2631,"(15, 18)","(16, 18)"
2632,"(15, 18)","(14, 19)"
2633,"(15, 18)","(15, 19)"
2634,"(15, 18)","(16, 19)"
2635,"(15, 19)","(14, 18)"
2636,"(15, 19)","(15, 18)"
2637,"(15, 19)","(16, 18)"
2638,"(15, 19)","(14, 19)"
2639,"(15, 19)","(16, 19)"
2640,"(15, 19)","(14, 20)"
2641,"(15, 19)","(15, 20)"
2642,"(15, 19)","(16, 20)"
2643,"(15, 20)","(14, 19)"
2644,"(15, 20)","(15, 19)"
2645,"(15, 20)","(16, 19)"
2646,"(15, 20)","(14, 20)"
2647,"(15, 20)","(16, 20)"
2648,"(15, 20)","(14, 21)"
2649,"(15, 20)","(15, 21)"
2650,"(15, 20)","(16, 21)"
2651,"(15, 21)","(14, 20)"
2652,"(15, 21)","(15, 20)"
2653,"(15, 21)","(16, 20)"
2654,"(15, 21)","(14, 21)"
2655,"(15, 21)","(16, 21)"
2656,"(16, 0)","(15, 0)"
2657,"(16, 0)","(17, 0)"
2658,"(16, 0)","(15, 1)"
2659,"(16, 0)","(16, 1)"
2660,"(16, 0)","(17, 1)"
2661,"(16, 1)","(15, 0)"
2662,"(16, 1)","(16, 0)"
2663,"(16, 1)","(17, 0)"
2664,"(16, 1)","(15, 1)"
2665,"(16, 1)","(17, 1)"
2666,"(16, 1)","(15, 2)"
2667,"(16, 1)","(16, 2)"
2668,"(16, 1)","(17, 2)"
2669,"(16, 2)","(15, 1)"
2670,"(16, 2)","(16, 1)"
2671,"(16, 2)","(17, 1)"
2672,"(16, 2)","(15, 2)"
2673,"(16, 2)","(17, 2)"
2674,"(16, 2)","(15, 3)"
2675,"(16, 2)","(16, 3)"
2676,"(16, 2)","(17, 3)"
2677,"(16, 3)","(15, 2)"
2678,"(16, 3)","(16, 2)"
2679,"(16, 3)","(17, 2)"
2680,"(16, 3)","(15, 3)"
2681,"(16, 3)","(17, 3)"
2682,"(16, 3)","(15, 4)"
2683,"(16, 3)","(16, 4)"
2684,"(16, 3)","(17, 4)"
2685,"(16, 4)","(15, 3)"
2686,"(16, 4)","(16, 3)"
2687,"(16, 4)","(17, 3)"
2688,"(16, 4)","(15, 4)"
2689,"(16, 4)","(17, 4)"
2690,"(16, 4)","(15, 5)"
2691,"(16, 4)","(16, 5)"
2692,"(16, 4)","(17, 5)"
2693,"(16, 5)","(15, 4)"
2694,"(16, 5)","(16, 4)"
2695,"(16, 5)","(17, 4)"
2696,"(16, 5)","(15, 5)"
2697,"(16, 5)","(17, 5)"
2698,"(16, 5)","(15, 6)"
2699,"(16, 5)","(16, 6)"
2700,"(16, 5)","(17, 6)"
2701,"(16, 6)","(15, 5)"
2702,"(16, 6)","(16, 5)"
2703,"(16, 6)","(17, 5)"
2704,"(16, 6)","(15, 6)"
2705,"(16, 6)","(17, 6)"
2706,"(16, 6)","(15, 7)"
2707,"(16, 6)","(16, 7)"
2708,"(16, 6)","(17, 7)"
2709,"(16, 7)","(15, 6)"
2710,"(16, 7)","(16, 6)"
2711,"(16, 7)","(17, 6)"
2712,"(16, 7)","(15, 7)"
2713,"(16, 7)","(17, 7)"
2714,"(16, 7)","(15, 8)"
2715,"(16, 7)","(16, 8)"
2716,"(16, 7)","(17, 8)"
2717,"(16, 8)","(15, 7)"
2718,"(16, 8)","(16, 7)"
2719,"(16, 8)","(17, 7)"
2720,"(16, 8)","(15, 8)"
2721,"(16, 8)","(17, 8)"
2722,"(16, 8)","(15, 9)"
2723,"(16, 8)","(16, 9)"
2724,"(16, 8)","(17, 9)"
2725,"(16, 9)","(15, 8)"
2726,"(16, 9)","(16, 8)"
2727,"(16, 9)","(17, 8)"
2728,"(16, 9)","(15, 9)"
2729,"(16, 9)","(17, 9)"
2730,"(16, 9)","(15, 10)"
2731,"(16, 9)","(16, 10)"
2732,"(16, 9)","(17, 10)"
2733,"(16, 10)","(15, 9)"
2734,"(16, 10)","(16, 9)"
2735,"(16, 10)","(17, 9)"
2736,"(16, 10)","(15, 10)"
2737,"(16, 10)","(17, 10)"
2738,"(16, 10)","(15, 11)"
2739,"(16, 10)","(16, 11)"
2740,"(16, 10)","(17, 11)"
2741,"(16, 11)","(15, 10)"
2742,"(16, 11)","(16, 10)"
2743,"(16, 11)","(17, 10)"
2744,"(16, 11)","(15, 11)"
2745,"(16, 11)","(17, 11)"
2746,"(16, 11)","(15, 12)"
2747,"(16, 11)","(16, 12)"
2748,"(16, 11)","(17, 12)"
2749,"(16, 12)","(15, 11)"
2750,"(16, 12)","(16, 11)"
2751,"(16, 12)","(17, 11)"
2752,"(16, 12)","(15, 12)"
2753,"(16, 12)","(17, 12)"
2754,"(16, 12)","(15, 13)"
2755,"(16, 12)","(16, 13)"
2756,"(16, 12)","(17, 13)"
2757,"(16, 13)","(15, 12)"
2758,"(16, 13)","(16, 12)"
2759,"(16, 13)","(17, 12)"
2760,"(16, 13)","(15, 13)"
2761,"(16, 13)","(17, 13)"
2762,"(16, 13)","(15, 14)"
2763,"(16, 13)","(16, 14)"
2764,"(16, 13)","(17, 14)"
2765,"(16, 14)","(15, 13)"
2766,"(16, 14)","(16, 13)"
2767,"(16, 14)","(17, 13)"
2768,"(16, 14)","(15, 14)"
2769,"(16, 14)","(17, 14)"
2770,"(16, 14)","(15, 15)"
2771,"(16, 14)","(16, 15)"
2772,"(16, 14)","(17, 15)"
2773,"(16, 15)","(15, 14)"
2774,"(16, 15)","(16, 14)"
2775,"(16, 15)","(17, 14)"
2776,"(16, 15)","(15, 15)"
2777,"(16, 15)","(17, 15)"
2778,"(16, 15)","(15, 16)"
2779,"(16, 15)","(16, 16)"
2780,"(16, 15)","(17, 16)"
2781,"(16, 16)","(15, 15)"
2782,"(16, 16)","(16, 15)"
2783,"(16, 16)","(17, 15)"
2784,"(16, 16)","(15, 16)"
2785,"(16, 16)","(17, 16)"
2786,"(16, 16)","(15, 17)"
2787,"(16, 16)","(16, 17)"
2788,"(16, 16)","(17, 17)"
2789,"(16, 17)","(15, 16)"
2790,"(16, 17)","(16, 16)"
2791,"(16, 17)","(17, 16)"
2792,"(16, 17)","(15, 17)"
2793,"(16, 17)","(17, 17)"
2794,"(16, 17)","(15, 18)"
2795,"(16, 17)","(16, 18)"
2796,"(16, 17)","(17, 18)"
2797,"(16, 18)","(15, 17)"
2798,"(16, 18)","(16, 17)"
2799,"(16, 18)","(17, 17)"
2800,"(16, 18)","(15, 18)"
2801,"(16, 18)","(17, 18)"
2802,"(16, 18)","(15, 19)"
2803,"(16, 18)","(16, 19)"
2804,"(16, 18)","(17, 19)"
2805,"(16, 19)","(15, 18)"
2806,"(16, 19)","(16, 18)"
2807,"(16, 19)","(17, 18)"
2808,"(16, 19)","(15, 19)"
2809,"(16, 19)","(17, 19)"
2810,"(16, 19)","(15, 20)"
2811,"(16, 19)","(16, 20)"
2812,"(16, 19)","(17, 20)"
2813,"(16, 20)","(15, 19)"
2814,"(16, 20)","(16, 19)"
2815,"(16, 20)","(17, 19)"
2816,"(16, 20)","(15, 20)"
2817,"(16, 20)","(17, 20)"
2818,"(16, 20)","(15, 21)"
