"ID","LAT_MIN","LAT_MAX","LON_MIN","LON_MAX"
"(4, 11)","-23.839910399999997","-23.812893399999997","-46.525453808","-46.49843680800001"
"(4, 12)","-23.839910399999997","-23.812893399999997","-46.498426808000005","-46.471409808000004"
"(4, 13)","-23.839910399999997","-23.812893399999997","-46.471399808","-46.44438280800001"
"(4, 14)","-23.839910399999997","-23.812893399999997","-46.444372808000004","-46.417355808"
"(4, 15)","-23.839910399999997","-23.812893399999997","-46.417345808","-46.39032880800001"
"(4, 16)","-23.839910399999997","-23.812893399999997","-46.390318808","-46.363301808"
"(4, 17)","-23.839910399999997","-23.812893399999997","-46.363291808","-46.336274808000006"
"(4, 18)","-23.839910399999997","-23.812893399999997","-46.336264808","-46.309247808"
"(4, 19)","-23.839910399999997","-23.812893399999997","-46.309237808","-46.282220808000005"
"(4, 20)","-23.839910399999997","-23.812893399999997","-46.282210808","-46.25519380800001"
"(4, 21)","-23.839910399999997","-23.812893399999997","-46.255183808000005","-46.228166808000005"
"(5, 0)","-23.812883399999997","-23.7858664","-46.822750808","-46.79573380800001"
"(5, 1)","-23.812883399999997","-23.7858664","-46.795723808000005","-46.768706808000005"
"(5, 2)","-23.812883399999997","-23.7858664","-46.768696808","-46.74167980800001"
"(5, 3)","-23.812883399999997","-23.7858664","-46.741669808000005","-46.714652808000004"
"(5, 4)","-23.812883399999997","-23.7858664","-46.714642808","-46.68762580800001"
"(5, 5)","-23.812883399999997","-23.7858664","-46.687615808000004","-46.660598808"
"(5, 6)","-23.812883399999997","-23.7858664","-46.660588808","-46.633571808000006"
"(5, 7)","-23.812883399999997","-23.7858664","-46.633561808","-46.606544808"
"(5, 8)","-23.812883399999997","-23.7858664","-46.606534808","-46.579517808000006"
"(5, 9)","-23.812883399999997","-23.7858664","-46.579507808","-46.552490808"
"(5, 10)","-23.812883399999997","-23.7858664","-46.552480808","-46.525463808000005"
"(5, 11)","-23.812883399999997","-23.7858664","-46.525453808","-46.49843680800001"
"(5, 12)","-23.812883399999997","-23.7858664","-46.498426808000005","-46.471409808000004"
"(5, 13)","-23.812883399999997","-23.7858664","-46.471399808","-46.44438280800001"
